GenID	FL21_STAND_BLUE	FL21_TPF_BLUE	FL21_EL_BLUE	FL21_EW_BLUE	FL21_SOL_BLUE	FL21_TP_BLUE	FL21_CUR_BLUE	FL21_STAND_BLUP	FL21_TPF_BLUP	FL21_EL_BLUP	FL21_EW_BLUP	FL21_SOL_BLUP	FL21_TP_BLUP	FL21_CUR_BLUP
C247	31.79508797	0.995521558	22.80646732	4.979087987	0.762991954	110.7897422	70.32233513	35.82294819	0.995225559	22.42695715	4.922902331	0.798628436	111.5669857	55.27288789
C249	28.62845395	0.995407795	31.33288942	5.206925185	0.581716015	91.78486526	81.37943335	33.06654371	0.995235347	28.32594495	4.977706775	0.766622012	105.5144968	55.73669227
C254	15.1438149	0.993274179	27.25874222	5.293285377	0.698445619	102.2254504	84.73226453	18.02659605	0.994115537	26.54215003	5.044161621	0.774548408	106.8757883	57.20608156
C256	47.03328839	0.996578069	27.10451358	5.31546252	0.790239951	108.5850578	68.78280254	47.02159236	0.995862445	26.36997149	5.052017873	0.799537306	109.9038553	55.88873208
C294	75.83457108	0.989847832	16.33401061	4.24272868	0.89594976	115.2862452	24.87306126	73.8551477	0.992303868	17.547032	4.671992153	0.832674998	113.5509894	51.7246108
C316	61.03328839	0.998638157	26.60311081	6.339166826	0.696203302	95.68793414	98.46953104	59.88345838	0.996951704	25.96819663	5.414675054	0.771330712	103.391736	58.73013244
C317	48.21177096	0.997301478	30.38203226	4.633880354	0.797604883	104.2960402	67.56950182	49.16265017	0.995865232	27.491044	4.84859343	0.804135294	108.4481746	55.71498463
C318	39.52101478	0.99445071	19.86315864	5.120018886	0.849340413	131.8981392	47.11825638	41.10674374	0.994840727	20.8617154	4.953238388	0.82076894	122.3048084	53.50971626
C319	49.1438149	0.996222439	24.31766009	4.581136933	0.804970216	105.7076591	56.02829048	49.26255639	0.995477455	23.83944477	4.83723943	0.806500801	108.6340531	54.4587434
C325	60.84500724	0.994554438	24.72798838	5.197724479	0.860129423	105.5567037	52.07552395	60.75640703	0.994928664	23.78439784	4.975725234	0.821011478	108.1988487	54.14108898
C327	6.192522595	0.995530137	26.10265014	4.88964074	0.789881627	101.2224975	55.97951367	13.3789774	0.995228648	24.9515892	4.903647255	0.801690853	107.9833431	54.51144856
C328	23.64628993	0.996929892	25.12524243	5.001771284	0.801406155	124.0978219	46.95302705	26.95545113	0.996048459	24.32198276	4.940889804	0.804826943	117.8242958	53.68940405
C344	63.41048827	0.98863633	18.46356298	4.827694775	0.854421834	127.0778952	28.99079864	62.75210232	0.991663291	19.25219941	4.879221693	0.819748024	119.6878549	51.98390467
C352	98.21177096	0.997374872	19.31848782	5.025178399	0.826467389	99.69718852	42.20088582	95.09788596	0.99628374	19.74473429	4.949182833	0.812792695	106.1260854	53.28688298
C353	95.87405418	0.997797864	18.32341108	5.26435949	0.892756465	118.9274645	35.71213334	88.93421698	0.996094304	19.95270588	4.990069666	0.820373041	114.0840934	53.54243266
C355	91.87405418	0.99499289	15.01967475	4.398430568	0.837868097	114.7438386	28.39487328	85.53568291	0.995086245	17.74423591	4.803671045	0.810688636	112.6711648	53.17465433
C365	44.62845395	0.998869897	21.90430798	4.569595661	0.854488152	72.48458007	44.26516515	46.66067999	0.996479567	22.02316018	4.840516134	0.814749437	98.99624537	53.87126403
C367	10.95553375	0.999378408	23.89200239	5.11342436	0.791364556	111.1671609	65.69113728	15.22472584	0.997343106	23.57489817	4.980443556	0.802930342	111.2148029	55.23505924
C368	89.83457108	0.994770427	21.43543423	5.52491349	0.833700493	114.3570346	54.96509479	86.71701372	0.994906661	21.63481112	5.126218561	0.814003131	113.0818049	54.60480404
C377	86.21177096	0.993198939	16.68937818	4.147691251	0.865983495	127.6717181	24.11647991	84.07342937	0.994441521	18.53710236	4.749697594	0.824645677	120.2512095	51.55597358
C378	95.52101478	0.998463936	15.9797334	4.722210361	0.872704524	120.6957932	36.52040774	92.55420782	0.996283011	18.26573703	4.867606694	0.82777708	116.6484298	52.49536633
C383	34.19252259	0.995388811	24.87211314	5.236357472	0.864225136	140.5024204	49.76694945	37.16871589	0.995177857	24.12900418	4.978281002	0.814807888	121.2492824	54.19919419
C390	15.41048827	0.996262086	22.56011185	5.130924947	0.777345048	129.2729604	58.89600777	18.65427597	0.995695365	22.53477074	4.986643923	0.796628595	120.7962049	54.84621643
C392	19.41048827	0.99435743	23.53293645	4.546537521	0.798126755	115.5940822	66.00011238	22.32909483	0.994857863	23.11185998	4.835552671	0.802862135	113.8893558	55.52617028
