GenID WI20_DTP_BLUE WI20_DTS_BLUE WI20_KRN_BLUE WI20_HAP_BLUE WI20_HP_BLUE WI20_EW_BLUE WI20_EL_BLUE WI20_TPF_BLUE WI20_RAP_BLUE WI20_ES_BLUE WI20_CR_BLUE WI20_FL_BLUE WI20_TXT_BLUE WI20_RT_BLUE WI20_HD_BLUE WI20_PH_BLUE WI20_EH_BLUE WI20_DTP_BLUP WI20_DTS_BLUP WI20_KRN_BLUP WI20_HAP_BLUP WI20_HP_BLUP WI20_EW_BLUP WI20_EL_BLUP WI20_TPF_BLUP WI20_RAP_BLUP WI20_ES_BLUP WI20_CR_BLUP WI20_FL_BLUP WI20_TXT_BLUP WI20_RT_BLUP WI20_HD_BLUP WI20_PH_BLUP WI20_EH_BLUP
C042 54.5042372881356 58.9766949152542 14.8241525423729 3.43829787234043 1.9468085106383 4.1104255319149 19.4021276595745 4.45744680851064 3.98510638297872 4.50851063829787 3.51515151515151 2.99152542372881 2.46170212765958 2.46595744680851 81.9766949152542 194.088983050847 90.8898305084746 54.3835942308943 58.6153377682399 15.2519960364573 3.62193835564573 2.12465762410557 4.25920297686772 19.5392959589698 4.26931800632413 3.82607109021268 4.1765850137961 3.42876789719071 3.48510805555279 2.64372460469704 2.57944515461849 81.6153377682164 193.083990047204 83.9379991188819
C045 57.0042372881356 60.9766949152542 14.8241525423729 2.93829787234042 4.4468085106383 4.7604255319149 18.4021276595745 4.45744680851064 3.98510638297872 4.00851063829787 4.01515151515152 3.49152542372881 2.96170212765957 3.46595744680851 83.9766949152542 196.588983050847 85.8898305084746 56.6381480109899 60.4056751088783 15.2519960364573 3.39166031550035 4.09020056956843 4.63785068174485 18.7025088721745 4.26931800632413 3.82607109021268 3.84953960749437 3.70871285163389 3.53708689743565 2.87887805875258 3.215582140369 83.4056751088409 195.083613783787 80.9194389835484
C046 55.5042372881356 57.4766949152542 15.3241525423729 4.93829787234042 2.9468085106383 4.0604255319149 17.4021276595745 4.95744680851064 4.48510638297872 4.50851063829787 3.01515151515151 2.99152542372881 2.96170212765957 2.96595744680851 80.4766949152542 186.588983050847 73.3898305084746 55.2854157429325 57.272584762761 15.6705020375841 4.31277247608185 2.91087480229071 4.23007623033871 17.8657217853792 4.69269709035562 4.09956627930344 4.1765850137961 3.14882294274753 3.48510805555279 2.87887805875258 2.89751364749375 80.272584762748 187.085118837455 73.3730386452146
C047 57.0042372881356 59.4766949152542 15.8241525423729 4.43829787234042 3.9468085106383 4.4604255319149 19.9021276595745 4.95744680851064 4.48510638297872 4.50851063829787 2.51515151515152 3.49152542372881 3.46170212765957 3.46595744680851 82.4766949152542 179.088983050847 78.3898305084746 56.6381480109899 59.0629221033995 16.0890080387108 4.08249443593648 3.69709198047585 4.46309020257079 19.9576895023675 4.69269709035562 4.09956627930344 4.1765850137961 2.86887798830435 3.53708689743565 3.11403151280812 3.215582140369 82.0629221033725 181.086247627706 76.3915987805481
C048 54.0042372881356 56.4766949152542 19.3241525423729 4.93829787234042 3.9468085106383 4.1604255319149 18.9021276595745 3.95744680851064 3.98510638297872 4.00851063829787 4.01515151515152 2.99152542372881 2.96170212765957 2.96595744680851 79.4766949152542 179.088983050847 68.3898305084746 53.9326834748752 56.3774160924418 19.0185500465982 4.31277247608185 3.69709198047585 4.28832972339673 19.1209024155722 3.84593892229263 3.82607109021268 3.84953960749437 3.70871285163389 3.48510805555279 2.87887805875258 2.89751364749375 79.3774160924358 181.086247627706 70.354478509881
C054 53.5042372881356 54.9766949152542 19.8241525423729 4.93829787234042 3.4468085106383 4.3604255319149 20.9021276595745 4.95744680851064 4.48510638297872 4.50851063829787 4.01515151515152 3.49152542372881 3.46170212765957 3.46595744680851 77.9766949152542 169.088983050847 65.8898305084746 53.481772718856 55.034663086963 19.4370560477249 4.31277247608185 3.30398339138328 4.40483670951277 20.7944765891628 4.69269709035562 4.09956627930344 4.1765850137961 3.70871285163389 3.53708689743565 3.11403151280812 3.215582140369 78.0346630869674 173.087752681374 68.8451984422143
C055 52.5042372881356 54.4766949152542 16.3241525423729 4.93829787234042 3.9468085106383 4.0604255319149 19.9021276595745 4.95744680851064 4.48510638297872 5.00851063829787 3.51515151515151 3.99152542372881 3.96170212765957 3.96595744680851 77.4766949152542 171.588983050847 60.8898305084746 52.5799512068178 54.5870787518034 16.5075140398376 4.31277247608185 3.69709198047585 4.23007623033871 19.9576895023675 4.69269709035562 4.09956627930344 4.50363042009784 3.42876789719071 3.5890657393185 3.34918496686366 3.53365063324426 77.5870787518113 175.087376417957 65.8266383068807
C056 53.5042372881356 54.9766949152542 18.8241525423729 4.93829787234042 1.9468085106383 4.6604255319149 23.9021276595745 2.45744680851064 3.98510638297872 3.50851063829787 4.01515151515152 3.99152542372881 2.96170212765957 2.46595744680851 77.9766949152542 189.088983050847 78.3898305084746 53.481772718856 55.034663086963 18.6000440454714 4.31277247608185 2.12465762410557 4.57959718868683 23.3048378495488 2.57580167019814 3.82607109021268 3.52249420119263 3.70871285163389 3.5890657393185 2.87887805875258 2.57944515461849 78.0346630869674 189.084742574038 76.3915987805481
C057 52.5042372881356 55.4766949152542 20.8241525423729 4.93829787234042 1.9468085106383 4.6604255319149 20.9021276595745 3.45744680851064 3.48510638297872 3.00851063829787 2.51515151515152 2.99152542372881 3.46170212765957 2.96595744680851 78.4766949152542 161.588983050847 60.8898305084746 52.5799512068178 55.4822474221226 20.2740680499785 4.31277247608185 2.12465762410557 4.57959718868683 20.7944765891628 3.42255983826113 3.55257590112191 3.1954487948909 2.86887798830435 3.48510805555279 3.11403151280812 2.89751364749375 78.4822474221235 167.088881471625 65.8266383068807
C058 54.5042372881356 55.9766949152542 19.8241525423729 3.93829787234043 3.4468085106383 4.2604255319149 18.9021276595745 4.45744680851064 3.98510638297872 4.00851063829787 2.51515151515152 3.99152542372881 3.46170212765957 2.96595744680851 78.9766949152542 184.088983050847 63.3898305084746 54.3835942308943 55.9298317572822 19.4370560477249 3.8522163957911 3.30398339138328 4.34658321645475 19.1209024155722 4.26931800632413 3.82607109021268 3.84953960749437 2.86887798830435 3.5890657393185 3.11403151280812 2.89751364749375 78.9298317572797 185.085495100872 67.3359183745475
