GenID WI21_DTP_BLUE WI21_DTS_BLUE WI21_KRN_BLUE WI21_HAP_BLUE WI21_HP_BLUE WI21_EW_BLUE WI21_EL_BLUE WI21_TPF_BLUE WI21_RAP_BLUE WI21_ES_BLUE WI21_CR_BLUE WI21_FL_BLUE WI21_TXT_BLUE WI21_RT_BLUE WI21_HD_BLUE WI21_DTP_BLUP WI21_DTS_BLUP WI21_KRN_BLUP WI21_HAP_BLUP WI21_HP_BLUP WI21_EW_BLUP WI21_EL_BLUP WI21_TPF_BLUP WI21_RAP_BLUP WI21_ES_BLUP WI21_CR_BLUP WI21_FL_BLUP WI21_TXT_BLUP WI21_RT_BLUP WI21_HD_BLUP
C074 55.5470085470086 58.931623931624 17.9230769230769 4.6970310391363 4.05701754385965 4.75764502164502 19.2677056277056 5.11480519480519 3.95619047619048 4.01367965367965 2.4174489923645 3.38614718614718 3.22649350649351 3.33264069264069 81.9316239316239 55.484786725875 58.7088516065152 17.7852562532056 4.25543663681812 4.00259147204444 4.72914335948394 19.2918396298709 4.95732533303354 3.85599284227479 3.9386818495212 2.56646290380034 3.49553310232087 3.05818024403671 3.17326374595866 81.7088516065159
C103 53.5470085470086 55.2649572649573 15.5897435897436 3.36369770580297 2.05701754385965 4.49097835497836 20.601038961039 3.78147186147186 3.95619047619048 3.34701298701299 3.08411565903117 3.05281385281385 3.22649350649351 2.99930735930736 78.2649572649573 53.6927853850934 55.4595182475849 15.7435899189023 3.61272328302914 2.27283870543834 4.52491616294462 20.4940944445293 3.79861170550402 3.85599284227479 3.47010488613815 3.10216251697209 3.34922106049326 3.05818024403671 3.01335992897011 78.4595182475844
C112 56.8803418803419 59.931623931624 15.2564102564103 3.36369770580297 1.39035087719298 4.49097835497836 18.9343722943723 3.11480519480519 3.95619047619048 3.68034632034632 3.4174489923645 3.05281385281385 2.89316017316017 2.99930735930736 82.9316239316239 56.679454286396 59.595033431678 15.4519232997161 3.61272328302914 1.69625444990297 4.52491616294462 18.9912759262062 3.21925489173926 3.85599284227479 3.70439336782968 3.37001232355796 3.34922106049326 2.85155030106329 3.01335992897011 82.5950334316791
C165 54.8803418803419 56.2649572649573 17.9230769230769 4.03036437246964 4.05701754385965 4.82431168831169 18.601038961039 5.11480519480519 2.95619047619048 4.01367965367965 3.08411565903117 3.05281385281385 2.22649350649351 2.66597402597402 79.2649572649573 54.8874529456144 56.3457000727477 17.7852562532056 3.93407995992363 4.00259147204444 4.78020015861876 18.6907122225416 4.95732533303354 3.26664499194968 3.9386818495212 3.10216251697209 3.34922106049326 2.43829041511645 2.85345611198157 79.3457000727475
C166 55.5470085470086 54.931623931624 17.2564102564103 3.36369770580297 3.39035087719298 4.59097835497836 18.9343722943723 3.44813852813853 2.95619047619048 3.01367965367965 3.75078232569783 4.05281385281385 2.22649350649351 2.33264069264069 77.9316239316239 55.484786725875 55.1641243058639 17.2019230148332 3.61272328302914 3.42600721650907 4.60150136164686 18.9912759262062 3.50893329862164 3.26664499194968 3.23581640444663 3.63786213014383 3.78815718597608 2.43829041511645 2.69355229499302 78.1641243058633
C168 53.5470085470086 54.5982905982906 14.9230769230769 3.6970310391363 3.05701754385965 4.42431168831169 19.2677056277056 4.78147186147186 3.62285714285714 3.68034632034632 3.08411565903117 3.05281385281385 2.55982683982684 2.66597402597403 77.5982905982906 53.6927853850934 54.868730364143 15.1602566805299 3.77340162147638 3.13771508874139 4.47385936380979 19.2918396298709 4.66764692615116 3.65954355883309 3.70439336782968 3.10216251697209 3.34922106049326 2.64492035808987 2.85345611198157 77.8687303641423
C172 53.5470085470086 55.2649572649573 17.9230769230769 4.03036437246964 3.72368421052632 4.45764502164502 19.9343722943723 3.11480519480519 3.62285714285714 3.68034632034632 3.08411565903117 3.05281385281385 2.89316017316017 2.99930735930736 78.2649572649573 53.6927853850934 55.4595182475849 17.7852562532056 3.93407995992363 3.71429934427675 4.4993877633772 19.8929670372001 3.21925489173926 3.65954355883309 3.70439336782968 3.10216251697209 3.34922106049326 2.85155030106329 3.01335992897011 78.4595182475844
C176 53.8803418803419 55.5982905982906 17.2564102564103 3.6970310391363 4.05701754385965 4.69097835497836 17.2677056277056 4.78147186147186 2.95619047619048 4.01367965367965 3.08411565903117 4.05281385281385 2.55982683982684 2.66597402597403 78.5982905982906 53.9914522752237 55.7549121893058 17.2019230148332 3.77340162147638 4.00259147204444 4.67808656034911 17.4884574078832 4.66764692615116 3.26664499194968 3.9386818495212 3.10216251697209 3.78815718597608 2.64492035808987 2.85345611198157 78.7549121893054
C188 54.8803418803419 55.931623931624 17.5897435897436 3.6970310391363 4.39035087719298 4.82431168831169 18.9343722943723 4.11480519480519 2.95619047619048 3.68034632034632 2.75078232569783 3.38614718614718 3.22649350649351 3.33264069264069 78.9316239316239 54.8874529456144 56.0503061310267 17.4935896340194 3.77340162147638 4.29088359981212 4.78020015861877 18.9912759262062 4.0882901123864 3.26664499194968 3.70439336782968 2.83431271038621 3.49553310232087 3.05818024403671 3.17326374595866 79.0503061310265
C192 54.2136752136752 55.931623931624 21.5897435897436 4.03036437246964 4.05701754385965 4.95764502164502 17.601038961039 4.44813852813853 3.95619047619048 3.68034632034632 3.4174489923645 4.05281385281385 3.89316017316017 3.99930735930736 78.9316239316239 54.2901191653539 56.0503061310267 20.9935890642537 3.93407995992363 4.00259147204444 4.88231375688842 17.7890211115478 4.37796851926878 3.85599284227479 3.70439336782968 3.37001232355796 3.78815718597608 3.47144012998355 3.49307137993576 79.0503061310265
