GenID BG20_STAND_BLUE BG20_DTP_BLUE BG20_HP_BLUE BG20_EW_BLUE BG20_EL_BLUE BG20_TPF_BLUE BG20_PH_BLUE BG20_EH_BLUE BG20_STAND_BLUP BG20_DTP_BLUP BG20_HP_BLUP BG20_EW_BLUP BG20_EL_BLUP BG20_TPF_BLUP BG20_PH_BLUP BG20_EH_BLUP
C042 44.6340316775526 59.999999590249 2.000251161018 3.97053235074317 21.782972167719 1.62358895032967 149.52883528477 75.5810515290428 48.8735944192498 59.1787046312844 1.96000606516937 4.21893635008153 21.6146061453109 1.81076303323448 149.130520006468 73.3406374183108
C045 50.7638359810163 59.999999590249 2.86707343537966 4.74066286415454 19.0262809553621 2.60168949306612 153.884691375185 76.006955003154 54.4596028624526 59.1787046312844 2.68661329277781 4.64323885653322 19.1721292047246 2.5933203171603 153.59559353234 74.8236641439338
C046 40.4806027613195 59.999999590249 2.17176134019442 4.26723199478059 17.9552506251085 4.72878688727916 159.982979249125 67.8065633105849 45.3950501776756 59.1787046312844 2.1145238217164 4.38568267182076 18.2099416924288 4.29173423192293 158.524385716143 67.5729427166306
C047 79.6677028262358 59.999999590249 2.32064616800889 4.48336362530685 17.9533200176439 4.82004822570048 131.898568784823 52.8329872306758 79.8443096532543 59.1787046312844 2.23177656770562 4.52347138009934 18.209941654263 4.44153042834996 135.359163731321 55.7878461509408
C048 89.2063815835956 59.999999590249 1.66196820269325 4.64899150664728 20.7706044119859 3.461389398012 145.128155018239 67.6990348522046 87.9122376864046 59.1787046312844 1.68587670770933 4.61206976279247 20.7264325348027 3.32506956875966 146.177290737023 68.0026799487421
C054 89.9259988356567 59.999999590249 2.67033279931866 4.22923853373033 21.6977650520495 3.47812858692004 144.582730214489 56.4502968236996 88.1649184199197 59.1787046312844 2.51055067657129 4.34937184957856 21.5405915836462 3.34244972678156 145.324253214524 58.1254949138865
C055 73.2859082856775 59.999999590249 2.31277764745174 4.17241212994182 20.5369910025581 4.74450765128159 131.871699544622 58.758604432823 73.9053099688541 59.1787046312844 2.20478326544579 4.3512822096197 20.5043896750965 4.36757833907786 135.030188427138 60.6334282825417
C056 88.2887587574355 59.999999590249 1.5164543392624 4.30942335973215 23.2018486395419 0.800816112643258 140.227986866932 60.7102580968872 86.7090032133181 59.1787046312844 1.57804789017845 4.39531644679727 22.8728518411299 1.19706699855421 142.118080860839 62.201152539904
C057 87.9172648972495 59.6097569204018 1.19556325620325 4.52729655345045 19.7706691646392 1.66315822278329 130.93054741083 46.2814432216118 86.701440669944 59.4181680643448 1.31799624711635 4.52566850047302 19.838258984972 1.87264080839713 133.476959372664 49.1349498587527
C058 88.710907494118 59.999999590249 2.46251110224571 4.53842488743587 16.7935182758607 3.01359575286634 132.341204810152 61.6682301581385 87.6217422127841 59.1787046312844 2.31890591918484 4.54825288510192 17.1737395559129 3.00251774852666 135.074157638546 62.7284314418462
C059 72.4715860012316 59.999999590249 2.50180672374513 4.08788406556159 19.7902366765188 2.31820663585348 120.068681275424 48.9277279288079 73.2541212776238 59.1787046312844 2.36480663499517 4.29609692021508 19.8382596337671 2.43178664514813 125.113888422189 52.2782473198873
C061 80.1929084243356 59.999999590249 1.99854547855883 4.44619673649025 19.7001390963364 4.78145139923322 152.003979446611 68.7462721040982 80.156316284567 59.1787046312844 1.9736725795887 4.4922554071845 19.7642449604437 4.38326514963246 151.879715581915 68.3433302806373
C062 25.0394795081024 58.8048763431394 2.02431471031931 4.30769222045966 19.3418152439627 4.55843631047132 104.958123410966 35.9717838856403 32.2254092593025 58.9765447757091 1.9840152469214 4.43909102703213 19.513019769587 3.91654781309632 111.939646421582 41.604696254383
C065 89.5252297785639 59.999999590249 2.27348202595231 4.3729529518161 19.8736059352333 1.60656343496112 149.14422307935 66.4991066621535 88.2729309040145 59.1787046312844 2.15888254963546 4.45591027746944 19.9122742143713 1.82394722181936 149.280365023496 66.8894245395858
C067 83.7109074941181 59.999999590249 1.62917776891237 4.45509155410253 22.376851609194 1.680262419533 122.341204810152 56.6682301581384 83.2636674300694 59.1787046312844 1.64440631412127 4.49907691942289 22.1327077469001 1.91926132395726 126.494342878545 58.5342435769314
C069 89.710907494118 59.999999590249 1.29584443557904 4.20509155410253 19.876851609194 3.68026241953301 139.841204810152 69.1682301581384 88.4933571693271 59.1787046312844 1.37460647209585 4.3515490223858 19.9122742285476 3.54414596081136 141.509018708547 69.0197132392185
C074 82.0394795081024 59.999999590249 2.67005565773525 4.826229713861 18.2890842203926 4.55331600284938 137.458123410966 53.4717838856403 81.9074617822505 59.1787046312844 2.53289009917387 4.70817769460276 18.5059995753023 4.15609528689741 139.824044391586 56.2843537815849
C075 13.5252297785639 59.999999590249 2.61410424494648 3.95768283877847 16.6637954905438 2.27783612036308 96.6442230793502 36.4991066621535 22.0301942067505 59.1787046312844 2.34242717219603 4.32511738380705 17.3827750886704 2.41239285858199 104.236337533489 41.7242973500969
C076 81.9967915993314 59.999999590249 2.01303936762841 4.21738384341166 19.7870557552114 3.27960980938622 150.174091937213 59.8410128022303 81.4106625178231 59.1787046312844 1.97180272586553 4.3632328786583 19.8382594771011 3.18596368485768 150.214255032784 60.639543584669
C080 76.0394795081024 59.999999590249 1.17005565773525 4.326229713861 18.872417553726 2.21998266951605 144.958123410966 48.4717838856403 76.6777720429928 59.1787046312844 1.31879081005945 4.41312190052859 19.0241007295846 2.26039654390096 146.258905461587 52.0901659166701
C081 58.7638359810163 59.999999590249 1.200406768713 4.32399619748787 18.4429476220287 3.26835615973278 153.884691375185 61.006955003154 61.4325225147962 59.1787046312844 1.33761408265067 4.39735902813807 18.6540280504424 3.13494852944501 153.59559353234 62.2411005491893
C082 77.2092320553536 59.8048792992183 1.19897822783725 4.28600273643761 20.768795382303 3.18436452604033 158.484442340549 57.1506885162687 77.182327104209 59.5993529765286 1.32894117446741 4.36104820589588 20.72643228126 3.13351339580186 157.555090550724 59.0849345438174
C083 85.4848755824397 60.0000016780349 1.33529378352616 4.12156958614407 18.9482653140003 3.30265770249026 122.05787437633 49.615517398755 84.583042023519 59.5501193951932 1.4450178228889 4.27845914692833 19.098114793885 3.20681078175604 126.623911889967 53.128187776213
C085 91.7109074941181 58.8048781675218 1.62917776891237 4.3717582207692 19.876851609194 1.84692908619967 142.341204810152 56.6682301581384 90.236587082413 58.976545051767 1.64440631412127 4.44990095374386 19.9122742285476 2.05466837702843 143.653972398547 58.5342435769314
